"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000221 ","Wales ","Denbighshire 003B ",13,23.6,18.4,80,98,318,6.7,6.6,9.2
"W01000222 ","Wales ","Denbighshire 003C ",14,18.9,14.9,80,98,371,6.5,5.7,9.1
"W01000223 ","Wales ","Denbighshire 009B ",8,6.3,7.7,88,109,420,6.5,5.1,7.1
"W01000224 ","Wales ","Denbighshire 009C ",11,25.8,15.1,78,102,336,3.5,5.2,8.2
"W01000225 ","Wales ","Denbighshire 009D ",11,22.3,16.2,82,103,332,7.2,6.1,8.7
"W01000226 ","Wales ","Denbighshire 004A ",22,32,22.6,82,93,385,5.7,6.1,9.9
"W01000227 ","Wales ","Denbighshire 004B ",16,18.9,18.9,86,99,403,4.1,4.8,7.7
"W01000228 ","Wales ","Denbighshire 004C ",29,24.4,26.8,78,97,326,9.9,6.1,9.4
"W01000229 ","Wales ","Denbighshire 017E ",23,33.5,22.3,80,94,350,9.9,7.3,10.6
"W01000230 ","Wales ","Denbighshire 017F ",14,14.2,14,82,102,376,4.5,6,7.8
"W01000231 ","Wales ","Denbighshire 017A ",18,30,22.4,84,101,336,7.4,6,8.4
"W01000232 ","Wales ","Denbighshire 017B ",11,16.5,13.2,82,107,392,4.3,6.6,7.4
"W01000233 ","Wales ","Denbighshire 017C ",14,16.9,14.1,81,99,316,6.6,5.1,11.3
"W01000234 ","Wales ","Denbighshire 017G ",21,46.6,34.6,80,92,282,3.9,7.1,12.2
"W01000235 ","Wales ","Denbighshire 017D ",11,7.9,9.7,85,106,409,7.8,4.2,5.8
"W01000236 ","Wales ","Denbighshire 006A ",25,53.1,40.5,79,92,278,9.7,7.4,13.9
"W01000237 ","Wales ","Denbighshire 006B ",32,69.1,52.9,76,90,218,9,8.8,15.6
"W01000238 ","Wales ","Denbighshire 006C ",16,31.8,22.7,82,95,339,4.9,5.5,8.7
"W01000239 ","Wales ","Denbighshire 004D ",48,57.5,52.8,76,95,249,10,8,12.4
"W01000240 ","Wales ","Denbighshire 004E ",56,70.3,61.1,77,85,248,7.2,10.4,20
"W01000241 ","Wales ","Denbighshire 004F ",30,68,48.3,76,93,252,7.1,9.2,14.4
