"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01001049 ","Wales ","Bridgend 008C ",28,42,31.2,80,92,317,5.7,7.9,11.2
"W01001050 ","Wales ","Bridgend 008D ",19,29.6,23.7,83,98,435,7.3,7.2,8.8
"W01001051 ","Wales ","Bridgend 008E ",17,35.4,23.3,85,98,432,6.5,6.7,8.7
"W01001052 ","Wales ","Bridgend 008F ",20,28.3,23.8,81,100,391,7,7.6,10.5
"W01001053 ","Wales ","Bridgend 018E ",11,9.1,7.5,87,107,482,2.9,5.2,4.8
"W01001054 ","Wales ","Bridgend 018F ",7,12.6,9.2,89,110,468,4.2,4.5,4.2
"W01001055 ","Wales ","Bridgend 007C ",30,39.7,29.8,77,96,283,6.2,7.4,10.9
"W01001056 ","Wales ","Bridgend 007D ",21,23,16.7,84,97,331,4.7,7,8.8
"W01001057 ","Wales ","Bridgend 006B ",26,29.3,24.9,84,100,349,6.1,6.7,8.5
"W01001058 ","Wales ","Bridgend 006C ",11,19.7,13.4,83,103,408,2.9,6.2,6.8
"W01001059 ","Wales ","The Vale of Glamorgan 015A ",10,14.4,10.9,85,108,456,4.6,6.6,6.7
"W01001060 ","Wales ","The Vale of Glamorgan 015B ",5,4.9,4.7,89,108,534,8,4.9,4.3
"W01001061 ","Wales ","The Vale of Glamorgan 015C ",16,23.1,20.2,87,100,398,4,6.3,10.3
"W01001062 ","Wales ","The Vale of Glamorgan 013A ",14,19.5,14.9,89,109,519,5.2,5.1,6.9
"W01001063 ","Wales ","The Vale of Glamorgan 012A ",16,33.2,21.5,82,100,407,3.8,6.4,8.3
"W01001064 ","Wales ","The Vale of Glamorgan 013B ",28,35.3,29.3,81,99,374,6.5,7,11.2
"W01001065 ","Wales ","The Vale of Glamorgan 012B ",13,18.7,16.9,79,99,425,3.7,6.3,9.4
"W01001066 ","Wales ","The Vale of Glamorgan 015D ",14,25,18.4,80,99,443,6.8,6.7,9.5
"W01001067 ","Wales ","The Vale of Glamorgan 009A ",28,35,31.2,77,95,358,4.4,7.5,9.4
"W01001068 ","Wales ","The Vale of Glamorgan 009B ",13,26.9,19.6,80,98,388,4.1,6.8,8
"W01001069 ","Wales ","The Vale of Glamorgan 012C ",24,38.1,28.8,82,96,406,7.5,7.5,9.6
"W01001070 ","Wales ","The Vale of Glamorgan 009C ",30,45.2,36.6,79,95,352,9.6,8.1,14.8
"W01001071 ","Wales ","The Vale of Glamorgan 009D ",16,25.2,19.8,80,98,397,6.4,7.6,10.6
"W01001072 ","Wales ","The Vale of Glamorgan 009E ",7,12,9.3,85,106,471,3.7,5.9,6.4
"W01001073 ","Wales ","The Vale of Glamorgan 015E ",26,49.6,33.2,75,92,397,4.5,8.2,12.6
"W01001074 ","Wales ","The Vale of Glamorgan 012D ",23,34.3,28.4,79,94,440,6.1,7.4,11
"W01001075 ","Wales ","The Vale of Glamorgan 004A ",8,11,9.9,87,110,457,2.5,4.8,6.3
"W01001076 ","Wales ","The Vale of Glamorgan 004B ",13,28.6,17.1,78,97,403,4.6,6.7,9.4
"W01001077 ","Wales ","The Vale of Glamorgan 004C ",11,14.3,13.5,84,107,363,3.1,5.5,9.1
"W01001078 ","Wales ","The Vale of Glamorgan 004D ",8,10.5,9.5,85,111,448,6.5,4.8,7.5
"W01001079 ","Wales ","The Vale of Glamorgan 012E ",18,35,26.1,82,91,405,6,7.7,11.6
"W01001080 ","Wales ","The Vale of Glamorgan 012F ",18,39.1,27.3,80,96,416,10.1,7.5,10.5
"W01001081 ","Wales ","The Vale of Glamorgan 007A ",26,41.8,34.4,78,95,381,11.3,7.8,12.4
"W01001082 ","Wales ","The Vale of Glamorgan 002A ",8,9.3,9.2,87,115,587,1.4,5,6.7
"W01001083 ","Wales ","The Vale of Glamorgan 002B ",4,1.8,2.8,88,117,589,3.1,4.8,6.1
"W01001084 ","Wales ","The Vale of Glamorgan 002C ",6,4.1,5.2,88,115,630,7.2,4.3,5
"W01001085 ","Wales ","The Vale of Glamorgan 002D ",4,4.8,3.9,89,123,624,13,4.8,5.1
"W01001086 ","Wales ","The Vale of Glamorgan 006A ",5,7.2,5.1,92,118,517,1.5,4.9,4.8
"W01001087 ","Wales ","The Vale of Glamorgan 006B ",6,7.7,6.3,89,113,521,1.6,4.7,5.5
"W01001088 ","Wales ","The Vale of Glamorgan 006C ",15,29.7,20.6,82,103,462,7.7,5.7,9.8
"W01001089 ","Wales ","The Vale of Glamorgan 006D ",6,6.2,6.2,88,114,532,1.8,5.1,6.1
"W01001090 ","Wales ","The Vale of Glamorgan 006E ",7,5.7,6.2,87,113,500,4.8,5.1,5.8
"W01001091 ","Wales ","The Vale of Glamorgan 010A ",9,7,7.2,86,104,520,2.4,5.8,6.2
"W01001092 ","Wales ","The Vale of Glamorgan 007B ",15,24.3,19.7,83,92,414,5,6.5,8.8
"W01001093 ","Wales ","The Vale of Glamorgan 013C ",23,30.2,25.5,81,101,402,4.8,6.6,9
"W01001094 ","Wales ","The Vale of Glamorgan 007C ",22,44.1,33,78,92,417,6.1,8.4,9.6
"W01001095 ","Wales ","The Vale of Glamorgan 007D ",28,54,43.1,79,89,350,9.6,9,12.7
"W01001096 ","Wales ","The Vale of Glamorgan 007E ",18,30.8,20,80,100,494,5,6.7,9.9
"W01001097 ","Wales ","The Vale of Glamorgan 007F ",22,44.2,33.8,81,92,380,4.5,7.4,11.7
"W01001098 ","Wales ","The Vale of Glamorgan 010B ",7,10,7.5,87,107,489,3,5.1,5.1
"W01001099 ","Wales ","The Vale of Glamorgan 013D ",15,28.9,22.8,81,98,417,4.2,6.9,11.4
"W01001100 ","Wales ","The Vale of Glamorgan 010C ",5,1.3,4.3,88,109,506,4.8,5.9,6.5
"W01001101 ","Wales ","The Vale of Glamorgan 013E ",18,29.2,22.6,86,100,476,5.3,6.6,8.4
"W01001102 ","Wales ","The Vale of Glamorgan 013F ",13,33.5,22.9,81,105,486,4.8,6.9,10.2
"W01001103 ","Wales ","The Vale of Glamorgan 010D ",5,11.6,7.9,85,110,513,4,5.5,6.1
"W01001104 ","Wales ","The Vale of Glamorgan 004E ",8,7.5,6.6,86,113,506,7.6,5.8,6.7
"W01001105 ","Wales ","The Vale of Glamorgan 001A ",6,6.7,5.8,89,118,540,4.1,4.3,6.3
"W01001106 ","Wales ","The Vale of Glamorgan 011A ",6,7.4,5.9,86,110,444,8,5,6.9
"W01001107 ","Wales ","The Vale of Glamorgan 011B ",9,15.7,9.7,82,108,442,2.5,5.3,8.7
"W01001108 ","Wales ","The Vale of Glamorgan 014A ",9,13,9.7,86,103,419,7.1,6.3,9.6
"W01001109 ","Wales ","The Vale of Glamorgan 011C ",10,17,11.1,82,102,383,2.5,6.6,8.3
"W01001110 ","Wales ","The Vale of Glamorgan 011D ",3,5,5.3,91,110,457,"*",6.2,6.8
"W01001111 ","Wales ","The Vale of Glamorgan 011E ",16,33.5,24,81,97,373,4.9,6.1,11.6
"W01001112 ","Wales ","The Vale of Glamorgan 011F ",6,9.9,7.1,86,106,435,5.3,5.1,7
"W01001113 ","Wales ","The Vale of Glamorgan 003A ",6,4.9,4.9,87,113,553,4,4.2,5.6
"W01001114 ","Wales ","The Vale of Glamorgan 008A ",4,4.8,3.7,92,118,548,5.1,4.3,5.1
"W01001115 ","Wales ","The Vale of Glamorgan 008B ",9,13.9,12.1,89,111,510,2.6,4.7,6.9
"W01001116 ","Wales ","The Vale of Glamorgan 005A ",4,2.7,7,92,124,577,5.1,3.8,5.6
"W01001117 ","Wales ","The Vale of Glamorgan 014B ",11,19.9,11.9,85,100,411,10,7,8.5
"W01001118 ","Wales ","The Vale of Glamorgan 014C ",11,14.3,11.9,85,105,444,5.4,6.1,7.2
"W01001119 ","Wales ","The Vale of Glamorgan 003B ",5,8,6.6,87,113,545,2.8,5.4,5.6
"W01001120 ","Wales ","The Vale of Glamorgan 014D ",6,9.4,7.1,85,110,449,5.7,4.9,6.8
"W01001121 ","Wales ","The Vale of Glamorgan 014E ",15,30.6,18.3,82,100,395,3.4,7,9.7
"W01001122 ","Wales ","The Vale of Glamorgan 014F ",8,23.7,14.3,85,103,393,6.6,6.5,9.2
"W01001123 ","Wales ","The Vale of Glamorgan 005B ",11,12.3,11.9,88,113,535,2.9,6.2,8
"W01001124 ","Wales ","The Vale of Glamorgan 005C ",14,16.2,13.8,85,110,477,3.6,5.3,6
"W01001125 ","Wales ","The Vale of Glamorgan 005D ",10,9.3,11.1,85,109,489,6.1,5.5,6.4
"W01001126 ","Wales ","The Vale of Glamorgan 005E ",9,16.5,10.8,84,106,465,3.4,7,11.2
"W01001127 ","Wales ","The Vale of Glamorgan 001B ",7,2.9,4.6,87,116,484,1.6,3.9,6.7
"W01001128 ","Wales ","The Vale of Glamorgan 001C ",7,13.9,7.7,86,114,530,6.6,4.7,7.2
"W01001129 ","Wales ","The Vale of Glamorgan 004F ",13,18.8,17.4,80,103,431,5.3,6.3,9.6
"W01001130 ","Wales ","The Vale of Glamorgan 005F ",7,9.1,8.2,91,121,541,3.3,4.3,6.1
"W01001131 ","Wales ","The Vale of Glamorgan 008C ",18,23.4,23,83,107,450,5.9,6.5,8.8
"W01001132 ","Wales ","The Vale of Glamorgan 008D ",7,6.6,6.5,82,109,493,4.3,5,6.3
"W01001133 ","Wales ","The Vale of Glamorgan 008E ",8,7.2,6.6,88,117,548,4.5,5,5.8
"W01001134 ","Wales ","The Vale of Glamorgan 008F ",7,4.3,6.5,86,114,548,5.2,4.8,5.9
"W01001135 ","Wales ","The Vale of Glamorgan 003C ",6,5.4,5.1,89,119,589,4.1,6.1,5.5
"W01001136 ","Wales ","The Vale of Glamorgan 003D ",5,7.4,6.7,86,113,475,3.1,5,5.6
"W01001137 ","Wales ","Rhondda Cynon Taf 005A ",23,40.6,26.6,84,96,337,5.8,7.1,8.9
"W01001138 ","Wales ","Rhondda Cynon Taf 005B ",24,30.2,24.8,82,102,350,4.5,8.1,9.2
"W01001139 ","Wales ","Rhondda Cynon Taf 005C ",19,25.1,18.3,82,99,360,9.4,8.1,8.2
"W01001140 ","Wales ","Rhondda Cynon Taf 005D ",24,47.5,29,80,106,369,4.3,8.8,9.6
"W01001141 ","Wales ","Rhondda Cynon Taf 005E ",26,35.9,28.3,81,97,323,10.9,9.3,10
"W01001142 ","Wales ","Rhondda Cynon Taf 005F ",30,48.3,32.5,83,101,299,6.8,8.7,12.6
"W01001143 ","Wales ","Rhondda Cynon Taf 012A ",15,24.5,16.8,82,97,427,3.7,6.9,10.5
"W01001144 ","Wales ","Rhondda Cynon Taf 012B ",32,54.5,38,72,88,318,9.4,10.3,18.3
"W01001145 ","Wales ","Rhondda Cynon Taf 012C ",23,25.8,23,80,90,327,8,9.6,13.8
"W01001146 ","Wales ","Rhondda Cynon Taf 012D ",16,20.2,15.2,83,99,491,5.5,7.3,9.2
"W01001147 ","Wales ","Rhondda Cynon Taf 004A ",15,11.4,13.9,85,104,395,5.6,6.3,8.3
"W01001148 ","Wales ","Rhondda Cynon Taf 002A ",20,29.8,20.9,84,100,357,5.4,7.6,8
"W01001149 ","Wales ","Rhondda Cynon Taf 003A ",19,29.7,20.6,85,96,373,8,6.9,8.5
"W01001150 ","Wales ","Rhondda Cynon Taf 003B ",23,38.6,27.6,80,97,338,6.7,7.9,10.6
"W01001151 ","Wales ","Rhondda Cynon Taf 003C ",13,18.5,11.9,87,104,389,6.2,6.4,7.5
"W01001152 ","Wales ","Rhondda Cynon Taf 002B ",15,16.9,14.5,83,104,389,1.9,6.5,7.7
"W01001153 ","Wales ","Rhondda Cynon Taf 002C ",22,33.5,25.5,82,99,334,3.9,8.1,10.7
"W01001154 ","Wales ","Rhondda Cynon Taf 003D ",23,27.8,22.2,82,97,323,7.1,7.7,8.9
"W01001155 ","Wales ","Rhondda Cynon Taf 002D ",20,34.2,23.6,81,103,318,4.3,8.2,9
"W01001156 ","Wales ","Rhondda Cynon Taf 003E ",7,3.9,3.4,86,110,434,3.9,6.2,6.6
"W01001157 ","Wales ","Rhondda Cynon Taf 028A ",12,22.5,11.8,84,101,370,4.5,7.3,9.2
"W01001158 ","Wales ","Rhondda Cynon Taf 028B ",17,31.7,20.9,80,98,324,7.3,8,11.2
"W01001159 ","Wales ","Rhondda Cynon Taf 028C ",7,11.2,8.8,84,111,488,6,6.2,5.1
"W01001160 ","Wales ","Rhondda Cynon Taf 029A ",10,11.5,8.8,84,99,352,3.1,6.5,8.9
"W01001161 ","Wales ","Rhondda Cynon Taf 029B ",15,26.1,17.9,84,98,316,7.3,6.8,11.2
"W01001162 ","Wales ","Rhondda Cynon Taf 025A ",24,45,28,76,95,380,10.5,9.4,12.4
"W01001163 ","Wales ","Rhondda Cynon Taf 027A ",5,6.7,5.8,85,108,479,5.5,6.1,6.2
"W01001164 ","Wales ","Rhondda Cynon Taf 019A ",16,24.2,17.1,80,100,389,4.9,7.9,9.2
"W01001165 ","Wales ","Rhondda Cynon Taf 019B ",15,18.4,16.1,75,95,346,4.8,7.5,9
"W01001166 ","Wales ","Rhondda Cynon Taf 016A ",27,48.4,31.8,79,96,384,7.2,10.1,12.3
"W01001167 ","Wales ","Rhondda Cynon Taf 016B ",22,31.9,23.2,80,95,358,8.6,8.7,10.4
"W01001168 ","Wales ","Rhondda Cynon Taf 004B ",20,27.5,19.1,80,101,387,7.7,7.5,10
"W01001169 ","Wales ","Rhondda Cynon Taf 004C ",36,40.5,34.1,76,94,254,8.2,9.1,10.3
"W01001170 ","Wales ","Rhondda Cynon Taf 004D ",11,9.5,7.9,83,110,375,8.5,5.8,7.6
"W01001171 ","Wales ","Rhondda Cynon Taf 017A ",17,19.3,15.9,80,99,477,7.9,7.4,8.6
"W01001172 ","Wales ","Rhondda Cynon Taf 020A ",20,27.9,19.4,82,103,439,3.8,6.9,8.3
"W01001173 ","Wales ","Rhondda Cynon Taf 020B ",31,48.1,34.8,80,90,356,6.3,10.9,12.7
"W01001174 ","Wales ","Rhondda Cynon Taf 020C ",33,60.2,40.4,77,88,308,8.3,10.2,15.2
"W01001175 ","Wales ","Rhondda Cynon Taf 009A ",20,21.6,18.6,83,100,372,3.8,6.6,8.7
"W01001176 ","Wales ","Rhondda Cynon Taf 013A ",20,29.2,20,78,99,411,5,8,8.5
"W01001177 ","Wales ","Rhondda Cynon Taf 009B ",23,30.3,23.7,83,98,401,4.2,7.9,8.6
"W01001178 ","Wales ","Rhondda Cynon Taf 023A ",20,33.5,22.2,80,97,306,8.1,8.7,13.7
"W01001179 ","Wales ","Rhondda Cynon Taf 023B ",30,48,33.5,76,92,281,7.3,9.7,14
"W01001180 ","Wales ","Rhondda Cynon Taf 015A ",30,59.9,41,71,85,217,9.4,9.5,13.3
"W01001181 ","Wales ","Rhondda Cynon Taf 015B ",22,22.3,21.9,78,93,359,9.9,9.1,10.7
"W01001182 ","Wales ","Rhondda Cynon Taf 021A ",15,40.7,21.9,79,92,324,10.8,9.6,10.9
"W01001183 ","Wales ","Rhondda Cynon Taf 021B ",21,29.7,23.9,81,103,363,6.5,7.7,9.6
"W01001184 ","Wales ","Rhondda Cynon Taf 026A ",16,18.2,15.1,85,98,300,6.2,7.3,8.2
"W01001185 ","Wales ","Rhondda Cynon Taf 022A ",21,26.4,24.9,76,89,291,3.5,8.8,9.2
"W01001186 ","Wales ","Rhondda Cynon Taf 001A ",15,24.6,15.6,86,101,383,4.9,8.4,9
"W01001187 ","Wales ","Rhondda Cynon Taf 001B ",19,28.3,17.6,80,102,418,4.8,7.8,8.3
"W01001188 ","Wales ","Rhondda Cynon Taf 001C ",33,50.5,31.7,86,97,368,8,7.7,11.1
"W01001189 ","Wales ","Rhondda Cynon Taf 029C ",18,32.1,22.7,79,95,324,8.9,9.2,11.1
"W01001190 ","Wales ","Rhondda Cynon Taf 029D ",9,12.9,8.8,88,107,438,5.5,6.3,6.5
"W01001191 ","Wales ","Rhondda Cynon Taf 031A ",12,14.4,11.2,82,110,494,3.1,6.7,8.3
"W01001192 ","Wales ","Rhondda Cynon Taf 031B ",25,41.2,31.4,80,95,361,8.4,9.1,16.3
"W01001193 ","Wales ","Rhondda Cynon Taf 030A ",8,7.8,7.4,85,107,397,3.8,5.3,7
"W01001194 ","Wales ","Rhondda Cynon Taf 030B ",5,6.3,4.6,87,112,495,3.4,5.7,6.1
"W01001195 ","Wales ","Rhondda Cynon Taf 030C ",15,17,14.6,79,100,355,3,6.4,13.3
"W01001196 ","Wales ","Rhondda Cynon Taf 027B ",6,17.9,9.6,87,109,434,3.7,6.4,6.7
"W01001197 ","Wales ","Rhondda Cynon Taf 027C ",6,5.1,4.1,90,110,490,2.4,6,6.1
"W01001198 ","Wales ","Rhondda Cynon Taf 027D ",7,9.9,6.6,84,106,436,4.9,5.4,7.7
"W01001199 ","Wales ","Rhondda Cynon Taf 027E ",8,15.9,10.2,80,104,381,7.7,6.3,9.1
"W01001200 ","Wales ","Rhondda Cynon Taf 014A ",22,30.5,23.2,78,99,395,7.1,9.3,9
"W01001201 ","Wales ","Rhondda Cynon Taf 014B ",30,41.9,31.3,79,90,363,3.2,9.7,9
"W01001202 ","Wales ","Rhondda Cynon Taf 009C ",32,55.4,33.3,78,92,285,4.6,8.4,12.4
"W01001203 ","Wales ","Rhondda Cynon Taf 009D ",37,56.4,41.1,81,88,301,9.3,9.5,12.5
"W01001204 ","Wales ","Rhondda Cynon Taf 006A ",15,25.1,18.1,84,97,361,5.4,7.2,10.4
"W01001205 ","Wales ","Rhondda Cynon Taf 006B ",24,26.9,22.4,80,99,370,2.8,7,10.9
"W01001206 ","Wales ","Rhondda Cynon Taf 006C ",21,36,24.2,81,94,364,7.9,8.1,13.3
"W01001207 ","Wales ","Rhondda Cynon Taf 006D ",31,59.6,41.5,72,93,345,7.4,7.8,14
"W01001208 ","Wales ","Rhondda Cynon Taf 006E ",27,36.6,25.5,81,99,404,4.6,9.2,12.6
"W01001209 ","Wales ","Rhondda Cynon Taf 008A ",41,67.3,50.1,74,88,304,9.8,10.6,19.2
"W01001210 ","Wales ","Rhondda Cynon Taf 008B ",28,44.1,29.2,78,96,382,11.7,9.3,14.5
"W01001211 ","Wales ","Rhondda Cynon Taf 008C ",23,31.8,22.3,75,97,402,8.9,9.2,13.8
"W01001212 ","Wales ","Rhondda Cynon Taf 008D ",24,37.5,27.6,79,92,391,9.3,10,15.8
"W01001213 ","Wales ","Rhondda Cynon Taf 011A ",19,16,17.5,81,95,476,2.8,6.9,8.1
"W01001214 ","Wales ","Rhondda Cynon Taf 011B ",12,14.1,9.7,85,106,576,13.1,6.2,5.5
"W01001215 ","Wales ","Rhondda Cynon Taf 011C ",29,32.1,29.3,77,102,467,7.8,7,7.8
"W01001216 ","Wales ","Rhondda Cynon Taf 011D ",21,25.9,22,73,97,453,6.2,9,7.9
"W01001217 ","Wales ","Rhondda Cynon Taf 018A ",26,36.6,28.4,80,93,331,5.1,9.9,13.1
"W01001218 ","Wales ","Rhondda Cynon Taf 018B ",22,27.6,21.2,85,98,393,7,8.1,8.5
"W01001219 ","Wales ","Rhondda Cynon Taf 018C ",30,43.7,32.5,82,96,310,11.8,8.2,10.4
"W01001220 ","Wales ","Rhondda Cynon Taf 018D ",22,31.8,23.8,83,102,388,4.4,7.5,10.3
"W01001221 ","Wales ","Rhondda Cynon Taf 001D ",29,47.5,31.8,79,95,318,7.8,9,10.6
"W01001222 ","Wales ","Rhondda Cynon Taf 001E ",35,61,48.2,76,87,234,5.8,9.3,13.3
"W01001223 ","Wales ","Rhondda Cynon Taf 031C ",7,8.9,6,90,116,521,5,6.2,6.6
"W01001224 ","Wales ","Rhondda Cynon Taf 031D ",3,3.6,3.5,93,116,541,4.3,4.6,5.1
"W01001225 ","Wales ","Rhondda Cynon Taf 031E ",5,5.4,4.2,87,118,458,5.7,5.5,5.6
"W01001226 ","Wales ","Rhondda Cynon Taf 031F ",14,28.2,18.4,84,102,461,7.2,6.8,10.2
"W01001227 ","Wales ","Rhondda Cynon Taf 021C ",11,9,8.1,84,101,483,2.4,6.2,7.4
"W01001228 ","Wales ","Rhondda Cynon Taf 021D ",14,15,12.6,84,109,492,3.5,6,6.4
"W01001229 ","Wales ","Rhondda Cynon Taf 017B ",20,18.3,15.1,85,100,430,4.3,7.7,7.4
"W01001230 ","Wales ","Rhondda Cynon Taf 017C ",14,11.6,11.8,87,103,499,3.5,6.6,7.4
"W01001231 ","Wales ","Rhondda Cynon Taf 017D ",23,33.1,23.3,82,98,417,7.9,8.7,9.9
"W01001232 ","Wales ","Rhondda Cynon Taf 020D ",28,32.7,25.6,79,99,436,10.6,9.8,10.8
"W01001233 ","Wales ","Rhondda Cynon Taf 001F ",18,23.2,16.3,84,99,343,9.5,6.7,8.9
"W01001234 ","Wales ","Rhondda Cynon Taf 021E ",14,20.6,14.1,86,103,539,3.5,6.6,7.8
"W01001235 ","Wales ","Rhondda Cynon Taf 021F ",17,28.4,23.1,78,95,359,10.1,8.1,11.1
"W01001236 ","Wales ","Rhondda Cynon Taf 021G ",10,15.4,11.4,83,95,442,5.2,6.7,8.7
"W01001237 ","Wales ","Rhondda Cynon Taf 022B ",21,31.1,27.4,72,98,344,6.7,10.3,10.1
"W01001238 ","Wales ","Rhondda Cynon Taf 022C ",28,51.7,43.9,76,87,246,7.3,10,13.2
"W01001239 ","Wales ","Rhondda Cynon Taf 026B ",24,40.8,31.5,79,91,304,9.8,9.3,11
"W01001240 ","Wales ","Rhondda Cynon Taf 026C ",9,11.5,9.6,80,106,421,3.2,4.8,6.7
"W01001241 ","Wales ","Rhondda Cynon Taf 026D ",12,24.4,17.8,80,101,361,7.4,6.4,8.6
"W01001242 ","Wales ","Rhondda Cynon Taf 030D ",10,6.9,8.3,85,110,504,4.1,4.9,6.8
"W01001243 ","Wales ","Rhondda Cynon Taf 030E ",25,30.6,26.7,78,103,381,5.4,7.5,11.7
"W01001244 ","Wales ","Rhondda Cynon Taf 025B ",11,12.7,7.9,84,99,429,7.6,6.5,7.4
"W01001245 ","Wales ","Rhondda Cynon Taf 025C ",9,4.2,4.6,86,110,459,4.1,5.9,6.8
"W01001246 ","Wales ","Rhondda Cynon Taf 025D ",13,18.7,13.5,87,104,430,4.2,7,8.5
"W01001247 ","Wales ","Rhondda Cynon Taf 016C ",22,28.5,22.8,79,98,377,6.7,7.9,9.1
"W01001248 ","Wales ","Rhondda Cynon Taf 016D ",23,27,19.8,83,100,449,9.9,8,7.3
"W01001249 ","Wales ","Rhondda Cynon Taf 024A ",24,19.1,19,84,100,285,5.9,7.4,11
"W01001250 ","Wales ","Rhondda Cynon Taf 024B ",19,30.9,17.3,83,101,382,5.1,7.2,13.1
"W01001251 ","Wales ","Rhondda Cynon Taf 024C ",33,47,37.6,83,89,269,5.5,9.9,15.2
"W01001252 ","Wales ","Rhondda Cynon Taf 024D ",12,14.3,9,88,105,414,3.8,6.2,7.2
"W01001253 ","Wales ","Rhondda Cynon Taf 023C ",22,29.2,22.9,83,94,358,6.6,8.6,12.3
"W01001254 ","Wales ","Rhondda Cynon Taf 023D ",14,10.4,11.5,86,104,384,3.6,7.1,8.7
"W01001255 ","Wales ","Rhondda Cynon Taf 023E ",26,37.4,28.5,84,91,289,7.8,10.2,15.4
"W01001256 ","Wales ","Rhondda Cynon Taf 019C ",13,28.9,16.5,79,96,320,5.2,8.3,10.4
"W01001257 ","Wales ","Rhondda Cynon Taf 019D ",13,16,11.5,82,108,432,7.6,6.8,7
"W01001258 ","Wales ","Rhondda Cynon Taf 019E ",16,21.6,16.5,80,97,331,8.6,7.6,9.2
"W01001259 ","Wales ","Rhondda Cynon Taf 018E ",22,27.1,20.4,85,94,469,5.1,7.8,9
"W01001260 ","Wales ","Rhondda Cynon Taf 014C ",35,51.5,36.9,78,97,372,8.7,11.1,10.5
"W01001261 ","Wales ","Rhondda Cynon Taf 018F ",27,43.6,30,80,97,406,7,10,11.5
"W01001262 ","Wales ","Rhondda Cynon Taf 022D ",10,22.4,14.5,78,104,359,4.7,6.5,8.5
"W01001263 ","Wales ","Rhondda Cynon Taf 022E ",8,33.4,11.8,72,74,273,12.8,9.8,17.3
"W01001264 ","Wales ","Rhondda Cynon Taf 022F ",2,8.1,4.4,74,99,366,7.8,10,9.8
"W01001265 ","Wales ","Rhondda Cynon Taf 007A ",27,29,24.9,82,102,427,7.3,8.2,8.3
"W01001266 ","Wales ","Rhondda Cynon Taf 007B ",34,41.7,34.4,80,94,359,6.9,9.2,9.9
"W01001267 ","Wales ","Rhondda Cynon Taf 007C ",30,51,30.5,76,96,388,8.1,8.9,9.6
"W01001268 ","Wales ","Rhondda Cynon Taf 007D ",21,36,25.7,73,93,421,5.3,8.7,9.5
"W01001269 ","Wales ","Rhondda Cynon Taf 010A ",19,17.9,15,84,105,455,4.9,7,7.5
"W01001270 ","Wales ","Rhondda Cynon Taf 010B ",20,27,18.8,81,103,484,6,7.7,7.9
"W01001271 ","Wales ","Rhondda Cynon Taf 010C ",27,38.7,28.4,82,99,447,7.5,8.3,9.5
"W01001272 ","Wales ","Rhondda Cynon Taf 010D ",19,33.8,23.3,77,103,526,11.8,9.3,9.6
"W01001273 ","Wales ","Rhondda Cynon Taf 010E ",18,24.7,18,81,102,473,4.8,6.6,6.2
"W01001274 ","Wales ","Rhondda Cynon Taf 013B ",42,72.4,52.8,73,84,232,10.3,9.8,13.9
"W01001275 ","Wales ","Rhondda Cynon Taf 013C ",26,41.7,28.2,82,90,294,8.9,9.1,13.3
"W01001276 ","Wales ","Rhondda Cynon Taf 013D ",32,50.9,33.7,79,88,280,6.1,9.5,12.1
"W01001277 ","Wales ","Rhondda Cynon Taf 028D ",10,11.9,8.6,81,104,375,7.7,5.3,7.3
"W01001278 ","Wales ","Rhondda Cynon Taf 028E ",18,37.5,24.1,79,92,309,5.6,8.2,10.8
"W01001279 ","Wales ","Rhondda Cynon Taf 028F ",26,41.1,30.9,75,91,284,9.2,6.7,13.9
"W01001280 ","Wales ","Rhondda Cynon Taf 017E ",32,41.2,33.8,78,87,379,9.3,9.9,11.5
"W01001281 ","Wales ","Rhondda Cynon Taf 017F ",20,37,22.5,81,98,406,6.6,8.3,10
"W01001282 ","Wales ","Rhondda Cynon Taf 015C ",22,36.7,25.9,81,92,355,8.2,9.9,12.2
"W01001283 ","Wales ","Rhondda Cynon Taf 015D ",14,26.9,17.7,82,96,406,6.1,9.3,9.5
"W01001284 ","Wales ","Rhondda Cynon Taf 015E ",7,9.4,7.7,84,103,455,3.1,7.2,6.8
"W01001285 ","Wales ","Rhondda Cynon Taf 014D ",21,22.7,20.3,80,93,430,6.4,9,7.2
"W01001286 ","Wales ","Rhondda Cynon Taf 014E ",20,34.9,22.4,81,100,468,10.2,7.7,8.9
"W01001287 ","Wales ","Rhondda Cynon Taf 014F ",23,38,24.8,81,100,465,4.5,8.3,8.6
"W01001288 ","Wales ","Rhondda Cynon Taf 014G ",31,34.1,29.5,79,100,426,8.2,8.8,8.2
"W01001289 ","Wales ","Merthyr Tydfil 006A ",23,22.3,19.2,73,95,287,2.7,8.8,9.8
"W01001290 ","Wales ","Merthyr Tydfil 007A ",24,37.2,25.1,81,99,301,7,7.9,9.2
"W01001291 ","Wales ","Merthyr Tydfil 003A ",16,32.2,20.3,82,96,369,7.5,7.6,9.7
